P_BASIS,CHANNEL_ERROR,AD_BLOCK_SIZE,AD_SCORE_THRESH,EC_EFFICIENCY,USE_AD_WEIGHTED,EVE,FINAL,SIFT,QBER,LEAK
0.88|0.06|0.06,0.003,4,2.8,1.05,True,0.224093,409,9329,0.099046,1245.8
0.88|0.06|0.06,0.003,4,3.0,1.05,True,0.232463,429,9383,0.104338,1206.3
0.88|0.06|0.06,0.003,4,3.2,1.05,True,0.224167,428,9433,0.103679,1248.3
0.88|0.06|0.06,0.004,4,2.8,1.05,True,0.231708,376,9403,0.104754,1268.1
0.88|0.06|0.06,0.004,4,3.0,1.05,True,0.227840,419,9374,0.107531,1219.8
0.88|0.06|0.06,0.004,4,3.2,1.05,True,0.223080,493,9324,0.102960,1158.7
0.88|0.06|0.06,0.005,4,2.8,1.05,True,0.226600,431,9398,0.103213,1223.1
0.88|0.06|0.06,0.005,4,3.0,1.05,True,0.226066,457,9284,0.103727,1178.3
0.88|0.06|0.06,0.005,4,3.2,1.05,True,0.223625,506,9337,0.101317,1146.3
0.85|0.075|0.075,0.003,4,2.8,1.05,True,0.227048,374,8789,0.100466,1179.9
0.85|0.075|0.075,0.003,4,3.0,1.05,True,0.228744,366,8826,0.106390,1182.4
0.85|0.075|0.075,0.003,4,3.2,1.05,True,0.234314,351,8762,0.102602,1181.0
0.85|0.075|0.075,0.004,4,2.8,1.05,True,0.227077,379,8719,0.101388,1149.6
0.85|0.075|0.075,0.004,4,3.0,1.05,True,0.238212,283,8708,0.110588,1206.7
0.85|0.075|0.075,0.004,4,3.2,1.05,True,0.225936,407,8844,0.101085,1146.0
0.85|0.075|0.075,0.005,4,2.8,1.05,True,0.234109,355,8705,0.109937,1142.1
0.85|0.075|0.075,0.005,4,3.0,1.05,True,0.234543,418,8788,0.104574,1106.4
0.85|0.075|0.075,0.005,4,3.2,1.05,True,0.229464,368,8703,0.100310,1171.5
0.8|0.1|0.1,0.003,4,2.8,1.05,True,0.233041,290,7932,0.108800,1082.0
0.8|0.1|0.1,0.003,4,3.0,1.05,True,0.229701,361,7893,0.102496,1008.1
0.8|0.1|0.1,0.003,4,3.2,1.05,True,0.226818,397,7922,0.100353,989.0
0.8|0.1|0.1,0.004,4,2.8,1.05,True,0.229764,381,7975,0.098558,1018.6
0.8|0.1|0.1,0.004,4,3.0,1.05,True,0.230798,311,7932,0.101488,1072.4
0.8|0.1|0.1,0.004,4,3.2,1.05,True,0.235011,271,7877,0.106640,1088.2
0.8|0.1|0.1,0.005,4,2.8,1.05,True,0.230647,396,7939,0.102910,990.8
0.8|0.1|0.1,0.005,4,3.0,1.05,True,0.227025,358,7880,0.101523,1021.5
0.8|0.1|0.1,0.005,4,3.2,1.05,True,0.236286,429,8041,0.109439,937.1
