P_BASIS,CHANNEL_ERROR,AD_BLOCK_SIZE,AD_SCORE_THRESH,EC_EFFICIENCY,USE_AD_WEIGHTED,EVE,FINAL,SIFT,QBER,LEAK
0.88|0.06|0.06,0.003,4,2.8,1.05,True,0.241486,199,6266,0.103894,865.7
0.88|0.06|0.06,0.003,4,3.0,1.05,True,0.242741,258,6213,0.105746,786.1
0.88|0.06|0.06,0.003,4,3.2,1.05,True,0.233930,311,6290,0.102067,769.5
0.88|0.06|0.06,0.004,4,2.8,1.05,True,0.232301,263,6288,0.099555,823.3
0.88|0.06|0.06,0.004,4,3.0,1.05,True,0.241232,259,6196,0.103454,793.9
0.88|0.06|0.06,0.004,4,3.2,1.05,True,0.240943,280,6251,0.101264,779.9
0.88|0.06|0.06,0.005,4,2.8,1.05,True,0.243232,197,6220,0.106752,850.0
0.88|0.06|0.06,0.005,4,3.0,1.05,True,0.236899,295,6243,0.102034,766.2
0.88|0.06|0.06,0.005,4,3.2,1.05,True,0.235694,234,6309,0.106039,847.5
0.85|0.075|0.075,0.003,4,2.8,1.05,True,0.245068,227,5864,0.099932,756.5
0.85|0.075|0.075,0.003,4,3.0,1.05,True,0.239667,254,5881,0.102194,738.3
0.85|0.075|0.075,0.003,4,3.2,1.05,True,0.241803,275,5897,0.103951,712.6
0.85|0.075|0.075,0.004,4,2.8,1.05,True,0.240204,246,5842,0.104587,740.1
0.85|0.075|0.075,0.004,4,3.0,1.05,True,0.244145,232,5861,0.101519,762.0
0.85|0.075|0.075,0.004,4,3.2,1.05,True,0.240964,216,5929,0.105751,787.6
0.85|0.075|0.075,0.005,4,2.8,1.05,True,0.241435,259,5898,0.107833,736.6
0.85|0.075|0.075,0.005,4,3.0,1.05,True,0.241555,244,5893,0.106228,752.4
0.85|0.075|0.075,0.005,4,3.2,1.05,True,0.233315,265,5818,0.095737,731.0
0.8|0.1|0.1,0.003,4,2.8,1.05,True,0.233672,245,5249,0.099257,638.7
0.8|0.1|0.1,0.003,4,3.0,1.05,True,0.244573,189,5323,0.109900,694.6
0.8|0.1|0.1,0.003,4,3.2,1.05,True,0.235376,229,5228,0.094682,659.3
0.8|0.1|0.1,0.004,4,2.8,1.05,True,0.248377,225,5255,0.101808,646.4
0.8|0.1|0.1,0.004,4,3.0,1.05,True,0.246870,249,5254,0.100685,615.3
0.8|0.1|0.1,0.004,4,3.2,1.05,True,0.247479,231,5224,0.105475,635.3
0.8|0.1|0.1,0.005,4,2.8,1.05,True,0.241927,201,5253,0.106415,673.1
0.8|0.1|0.1,0.005,4,3.0,1.05,True,0.240760,217,5262,0.105283,661.5
0.8|0.1|0.1,0.005,4,3.2,1.05,True,0.246121,199,5284,0.106359,670.2
