P_BASIS,CHANNEL_ERROR,AD_BLOCK_SIZE,AD_SCORE_THRESH,EC_EFFICIENCY,USE_AD_WEIGHTED,EVE,FINAL,SIFT,QBER,LEAK
0.88|0.06|0.06,0.003,4,2.8,1.05,True,0.235319,245,6219,0.100338,823.1
0.88|0.06|0.06,0.003,4,3.0,1.05,True,0.243956,203,6216,0.111486,828.6
0.88|0.06|0.06,0.003,4,3.2,1.05,True,0.233100,244,6258,0.095877,837.6
0.88|0.06|0.06,0.004,4,2.8,1.05,True,0.244012,266,6269,0.106397,777.1
0.88|0.06|0.06,0.004,4,3.0,1.05,True,0.244536,230,6176,0.109456,810.3
0.88|0.06|0.06,0.004,4,3.2,1.05,True,0.235758,223,6319,0.098275,871.6
0.88|0.06|0.06,0.005,4,2.8,1.05,True,0.237739,273,6228,0.103243,788.6
0.88|0.06|0.06,0.005,4,3.0,1.05,True,0.235377,243,6280,0.100637,838.4
0.88|0.06|0.06,0.005,4,3.2,1.05,True,0.233696,247,6323,0.101850,839.0
0.85|0.075|0.075,0.003,4,2.8,1.05,True,0.242823,205,5874,0.107252,776.3
0.85|0.075|0.075,0.003,4,3.0,1.05,True,0.241428,281,5864,0.102660,714.1
0.85|0.075|0.075,0.003,4,3.2,1.05,True,0.239522,241,5881,0.101683,750.5
0.85|0.075|0.075,0.004,4,2.8,1.05,True,0.244726,197,5854,0.099419,790.5
0.85|0.075|0.075,0.004,4,3.0,1.05,True,0.248510,201,5881,0.104064,786.0
0.85|0.075|0.075,0.004,4,3.2,1.05,True,0.245572,244,5892,0.106246,746.2
0.85|0.075|0.075,0.005,4,2.8,1.05,True,0.240890,232,5817,0.102630,756.5
0.85|0.075|0.075,0.005,4,3.0,1.05,True,0.239185,260,5872,0.102861,731.9
0.85|0.075|0.075,0.005,4,3.2,1.05,True,0.240629,209,5811,0.100843,785.0
0.8|0.1|0.1,0.003,4,2.8,1.05,True,0.255733,117,5255,0.108278,744.9
0.8|0.1|0.1,0.003,4,3.0,1.05,True,0.249345,229,5283,0.108461,639.5
0.8|0.1|0.1,0.003,4,3.2,1.05,True,0.250902,150,5219,0.107300,711.7
0.8|0.1|0.1,0.004,4,2.8,1.05,True,0.242373,251,5321,0.109378,630.9
0.8|0.1|0.1,0.004,4,3.0,1.05,True,0.243281,195,5322,0.101654,700.1
0.8|0.1|0.1,0.004,4,3.2,1.05,True,0.239870,180,5358,0.103583,717.7
0.8|0.1|0.1,0.005,4,2.8,1.05,True,0.252926,114,5222,0.106090,738.1
0.8|0.1|0.1,0.005,4,3.0,1.05,True,0.238020,154,5275,0.101611,731.2
0.8|0.1|0.1,0.005,4,3.2,1.05,True,0.230869,243,5369,0.098342,678.1
